frame_id,total score,0's score,1's score,2's score,3's score
72,174372765.25787127,59937131.98221569,56935909.56124286,57496393.138560876,3330.575851817302
73,174611013.21303466,59836242.501594216,57056292.48793423,57715146.577554196,3331.6459520137014
74,174872589.53880456,60001032.483567394,57166065.21414415,57702161.465187564,3330.37590546475
75,174820615.08903345,59637297.16618419,57383119.3512397,57796868.27993797,3330.291671584425
76,175199350.95969874,59708880.962922245,57482170.60079381,58004966.1557099,3333.240272764628
77,175857499.62613538,60244643.2288106,57615887.179276876,57993635.82663094,3333.391416967198
78,176158911.95365897,60314081.70595618,57772298.722178556,58069197.8737459,3333.651778320009
79,176320800.82965505,60394137.743046194,57981487.7282906,57941840.443029515,3334.9152887214022
80,176467854.69379866,60338136.43944161,58209703.969614476,57916678.772351846,3335.5123907266125
81,176937358.13209227,60400142.108237386,58363077.49465068,58170801.18477586,3337.34442834645
82,177411170.04545304,60746641.97926328,58506557.35767811,58154632.94848117,3337.760030476313
83,177353639.38113502,60780672.84584212,58708310.990972914,57861317.13242487,3338.4118951055816
84,177971802.81661794,61119512.0169258,58806654.18477697,58042298.160324685,3338.4545904780857
85,177560590.28020018,60720005.844311856,59075507.597699374,57761738.45987541,3338.378313526961
86,177452065.11878395,60669144.168734424,59190551.27405005,57589031.10485819,3338.571141274015
87,177774165.1746811,60808063.77618638,59384416.58063754,57578346.01293914,3338.8049180278963
88,178297475.0988,61002416.760827504,59545410.54023354,57746307.93947843,3339.8582605538295
89,178242370.8045007,60724489.17480714,59772874.3992095,57741668.187664166,3339.04281990228
90,178214541.31374347,60868978.12492334,59695035.62548526,57647188.83758247,3338.7257523952317
91,178086331.49772865,60679105.94542605,59833112.09162918,57570773.51937118,3339.941302252928
92,178539377.67839924,60949588.78073851,59844443.82046212,57742005.27955399,3339.797644616539
93,178218105.0670715,60439634.22024094,59986525.76268779,57788605.21114258,3339.873000165031
94,178735745.94483215,60709010.27892261,60063583.985949114,57959810.35696086,3341.3229995475467
95,178915652.39726388,60715940.332454115,60218605.858078085,57977765.310737394,3340.8959942776532
96,178808814.17999187,60402737.73157771,60390300.19914914,58012435.62591198,3340.6233530539316
97,179125647.57351696,60719424.05807415,60300763.348026335,58102118.7275731,3341.4398433861206
98,179069408.63553724,60592823.90534198,60468764.922745064,58004478.512946434,3341.2945037593004
99,179252919.4050249,60684053.45770048,60455377.750359096,58110145.87958352,3342.317381792011
100,179290265.29908046,60446748.07242224,60655277.80510968,58184898.07903215,3341.3425163742786
101,179136125.61815816,60121170.20786034,60815693.43143796,58195920.32388638,3341.6549734602104
102,179362280.7698919,60373160.130232364,60833259.23777831,58152518.66660005,3342.7352811805636
103,179321863.16385427,60285899.21003737,60938460.09350591,58094162.20223266,3341.6580783213726
104,179701909.46722135,60516613.80408226,60946061.76752275,58235890.64763171,3343.247984630267
105,179660282.0559466,60248143.318918884,61116529.31225105,58292267.55908784,3341.865688818419
106,179122438.5467179,59747711.80239342,61116878.450459175,58254506.10843899,3342.18542632084
107,179653803.64197424,60014560.74535264,61242710.75258597,58393190.08409849,3342.0599371356275
108,179201335.27821937,59635067.00085965,61348325.171594635,58214601.95472042,3341.151044667929
109,178901805.67103744,59226640.50590923,61432917.720702335,58238906.23116639,3341.213259500197
110,179077172.44180578,59167269.33775263,61528712.88122319,58377849.6973369,3340.525493040796
111,178746431.0319531,58948734.357637495,61505645.18084722,58288710.77525106,3340.718217303035
112,179408128.36442888,59532572.16386187,61510767.99449435,58361446.72555585,3341.480516822704
113,179254561.95686382,58995956.296172045,61703006.13148238,58552258.561547995,3340.967661377825
114,179223606.8713904,59150696.10051955,61658312.87713225,58411256.579590835,3341.3141477870536
115,179079973.2815125,58907490.20441602,61759481.500831604,58409660.06842937,3341.5078354906673
116,179376509.10581127,59224110.33796073,61753357.82015005,58395699.33293671,3341.6147637764216
117,179115268.68023047,58763610.94929951,61892271.07647281,58456045.49461113,3341.159847026638
118,178971518.2642859,58736731.323981,61901787.51755536,58329657.85816103,3341.564588494146
119,179244866.4996205,58688966.94859923,62007886.310961634,58544671.603818856,3341.636240788865
120,179325972.09156626,58758257.15873831,62043419.77542525,58520952.67113915,3342.486263565695
121,180097594.90264264,59416654.24221458,62065466.536799096,58612130.90055099,3343.223077966736
122,179987076.09572732,59180386.39355753,62065593.37942891,58737752.52561109,3343.797129805149
123,180743198.73637846,59676924.04707286,62080161.75802604,58982767.75860654,3345.1726730167534
124,180566492.93280348,59256177.29542932,62298016.96604514,59008954.22430806,3344.4470209527653
125,180394155.9770116,59038846.545059375,62349036.118071206,59002929.72764741,3343.586233591863
126,179841396.65286085,58662735.29589455,62316383.34917595,58858934.57845353,3343.429336802701
127,180027431.49320304,58960522.537361875,62304251.62602403,58759314.375417426,3342.9543996977877
128,180053117.3433273,59254463.94939287,62177930.969409205,58617378.44751225,3343.9770130104016
129,180564670.3899384,59577031.78483254,62065616.06459401,58918677.20655538,3345.3339564811404
130,180596793.18233404,59361005.56002477,62189603.860992216,59042838.812914774,3344.9484022758643
131,180513001.59540653,59038414.37798349,62373866.05061076,59097376.14138055,3345.0254317370027
132,180550434.22536224,59241659.54729895,62394043.52311835,58911386.86825806,3344.286686888026
133,180161657.11763245,58911202.6944549,62440886.57901533,58806223.47868914,3344.3654730960116
134,180203148.27302292,59072623.19254888,62255264.64108191,58871916.91432789,3343.5250642625656
135,179975834.991355,58851273.293549635,62257006.18694729,58864212.30141636,3343.209441703774
136,179757471.1408823,58709827.43607598,62287713.228621915,58756588.17273085,3342.3034535958045
137,179844764.45566994,58923700.01256015,62089596.05293405,58828125.13549619,3343.254679541757
138,180119706.57514822,59294228.83457255,61982152.29699627,58839981.98227504,3343.461304370891
139,180131806.14531022,59232617.3606075,62154827.00143614,58741018.25890601,3343.524360583555
140,179853797.74400875,58891750.393255934,62305968.91406337,58652735.6422365,3342.7944529574816
141,179587669.550958,58866628.840330675,62200143.46880034,58517555.3255366,3341.916290380724
142,179257645.62861404,58540412.94791734,62117416.22375514,58596475.22365686,3341.233284677572
143,179006383.78566828,58342257.36266098,62088075.539242,58572709.549670406,3341.334094904653
144,179198092.67383295,58482510.423897,62037874.00580807,58674367.714045875,3340.5300820036414
145,178753302.74735487,58385737.5946453,61969688.12595828,58394536.00550683,3341.0212444528397
146,179006139.23140055,58473279.25557257,61992470.07165401,58537048.632152446,3341.2720215027816
147,179151006.04026836,58459394.090020016,62014386.57863309,58673883.92050986,3341.451105400734
148,179302872.70283023,58783035.85693613,62033495.000302516,58483000.03151379,3341.81407780572
149,179458466.6781147,58936939.587018706,61980013.66193991,58538170.40337248,3343.025783596644
150,179851900.7146416,59201668.939879775,62018314.33681273,58628574.00922499,3343.4287241091115
151,179956823.4562332,59283998.58171952,62107239.398739345,58562241.983609796,3343.4921645435165
152,180023416.52596974,59192102.20770977,62128868.63187861,58699101.2618666,3344.424514780605
153,180297574.6078081,59379759.02595142,62118138.47497642,58796333.11298592,3343.993894349598
154,180271254.77406076,58888606.679788135,62329086.23656469,59050218.07494751,3343.782760421172
