frame_id,total score,0's score,1's score,2's score,3's score
58,3165849.090580054,920265.5966436317,912366.5735658744,1333198.920821329,17.999549218994122
59,3165350.520746891,918754.8252550182,916500.9887779931,1330076.7071646529,17.99954922661456
60,3164028.8512352863,917981.8168163791,915873.0375433045,1330155.997326399,17.999549203499445
61,3162376.1314193173,917065.7581044771,914396.4685030383,1330895.9052625988,17.99954920305962
62,3162677.7764921053,916283.7883064161,914780.546364245,1331595.44227224,17.999549203996924
63,3168264.8968050247,919738.5478468176,914922.99788697,1333585.3515220326,17.999549204195716
64,3164913.710935568,917100.9161406757,918827.9517338211,1328966.843511868,17.999549203232775
65,3164634.6930893045,917560.114505979,917410.9467498962,1329645.6322842194,17.999549209718825
66,3162428.422446471,915126.9689498907,915698.1271504406,1331585.3267969363,17.999549203390057
67,3163713.9011928625,915559.6576908926,914623.7477921086,1333512.496160658,17.999549203592935
68,3173082.737426115,919691.4661039442,919322.0372702052,1334051.234502763,17.99954920299879
69,3170657.9171579974,916631.0906359343,919496.3982928882,1334512.4286799713,17.999549203422713
70,3163822.187703586,916056.351824077,915697.1809914813,1332050.6553388245,17.999549203884055
71,3173631.74574465,919985.4433929648,918696.1956087522,1334932.1071937294,17.999549203508707
72,3164254.229286691,918463.2651716194,914958.5796025702,1330814.38496329,17.999549211413427
73,3164335.676203548,917978.2326317403,916952.13198456,1329387.3120380412,17.999549206165316
74,3164421.693524865,918145.2883367344,916145.5968274974,1330112.8088114304,17.999549203135526
75,3163369.022068862,916138.9052212501,916897.4893783577,1330314.6279200425,17.999549211485864
76,3170089.743817537,918576.8247977138,917435.586302961,1334059.3331676587,17.999549203374134
77,3162839.74940414,917618.8586936366,916760.5804896449,1328442.3106716548,17.999549203434476
78,3163688.087258834,915689.9159544259,915816.1681063971,1332164.0036488061,17.999549204427588
79,3172033.6031811023,918890.0614393486,918150.8517540952,1334974.6904384543,17.99954920398861
